-0.5049494,0.2815784,0.01109346
-0.4978523,0.261613,-0.004240331
-0.4801657,0.2349839,-0.02586233
-0.4518963,0.1779609,-0.07309254
-0.4012795,0.09722435,-0.11939
-0.3653287,0.0142286,-0.1602862
-0.3046655,-0.148578,-0.1948738
-0.2410343,-0.2761998,-0.1636108
-0.1991641,-0.4175706,-0.1213136
-0.1778397,-0.4900157,-0.0784447
-0.1579456,-0.5809854,-0.01295096
-0.1504117,-0.651131,0.04650961
-0.1435444,-0.6957436,0.1042173
-0.14252,-0.7161638,0.1374754
-0.1437393,-0.7396093,0.1758989
-0.1425,-0.7524151,0.2114931
-0.1464033,-0.7619534,0.2365172
-0.1509203,-0.7644539,0.2484182
-0.1528221,-0.7650692,0.2645096
-0.1556481,-0.7659461,0.2765404

-0.4210476,-0.2876563,0.1797763
-0.3927969,-0.2875751,0.1642154
-0.3405099,-0.2903625,0.1488592
-0.2750014,-0.2963006,0.1350163
-0.2000341,-0.307594,0.1272194
-0.1327504,-0.3244673,0.119061
-0.0803889,-0.3425323,0.1192561
-0.05757456,-0.3579838,0.133444
-0.07106503,-0.3663115,0.1564764
-0.1112993,-0.3677064,0.18557
-0.1903075,-0.3559345,0.2603578
-0.2635777,-0.3484746,0.2869635
-0.3369967,-0.3369565,0.3057488
-0.4058782,-0.3342975,0.3122968
-0.4639147,-0.3315102,0.3134532
-0.5066026,-0.3221273,0.3148095
-0.5368717,-0.3147423,0.3133033
-0.5576599,-0.3112006,0.310384
-0.5721629,-0.309288,0.3065603
-0.581414,-0.3084674,0.305306

